,Actinotelluria,Agrobacterium,Arthrobacter,Chryseobacterium,Deinococcus,Devosia,Frigoribacterium,Hymenobacter,Kineococcus,Methylobacterium,Nocardioides,Pseudomonas,Roseomonas,Rubellimicrobium,Sphingomonas
140,0,0,0,0,0,0,0,7,0,84,0,26,0,0,125
141,0,45,138,17,78,70,45,440,0,3869,124,61,22,114,1096
142,23,0,15,50,25,0,23,508,28,3070,45,101,0,19,2817
143,0,0,0,69,57,0,66,440,22,1661,0,58,0,0,1035
144,0,111,115,286,54,77,87,43,35,1290,123,29,0,41,981
145,61,431,92,185,175,141,355,421,81,3957,380,146,101,0,2452
146,69,42,50,5,51,65,43,296,15,3889,158,13,54,0,1066
147,12,38,0,22,18,0,88,335,0,883,0,150,0,0,1714
148,83,124,0,208,39,32,125,547,42,4516,121,27,87,0,1729
149,112,63,80,114,93,151,77,443,51,4389,68,20,50,22,1020
150,39,0,23,0,138,19,76,313,21,4128,75,22,0,20,885
151,9,29,0,52,1203,0,29,175,22,5857,0,13,15,0,1064
152,31,0,0,0,216,0,102,449,35,2243,42,90,24,25,2497
153,0,0,0,79,13,14,12,235,0,2172,37,26,14,0,591
154,31,49,4,0,0,0,32,604,26,4029,40,10,28,0,778
155,14,0,38,0,62,18,0,345,30,4044,0,16,19,0,931
156,0,0,0,0,0,0,0,162,0,1079,15,35,8,0,548
157,34,118,169,45,173,82,118,348,0,5138,158,169,36,39,1939
158,0,0,0,8,25,0,13,0,0,0,0,35,0,0,90
159,0,0,0,68,37,0,81,188,0,1473,0,57,0,0,992
15,0,31,0,60,33,0,21,302,19,4805,0,388,16,0,6111
160,0,0,24,0,47,0,0,183,0,1219,0,12,8,0,585
161,0,0,78,0,33,25,0,0,0,1573,0,32,18,59,286
162,0,50,85,0,53,0,41,113,0,956,50,344,0,62,1638
163,0,0,123,0,0,0,30,29,0,818,128,64,0,34,463
164,29,13,71,0,59,0,0,209,16,2672,95,37,32,37,724
165,0,0,0,0,0,0,0,131,0,809,0,36,0,0,950
166,0,0,20,0,0,0,0,0,0,456,55,53,0,11,358
167,74,63,0,21,87,0,159,729,114,5589,245,19,180,23,2352
168,0,0,48,0,15,10,0,16,0,1488,0,0,35,12,470
169,60,57,42,0,1258,44,79,793,61,6057,89,15,81,0,1198
16,140,78,0,160,0,0,244,886,336,4391,35,50,57,0,2068
170,0,19,23,77,16,0,23,375,0,580,0,219,0,0,787
172,0,0,89,0,18,0,0,53,0,1225,67,6,0,31,243
173,0,12,65,0,0,23,0,326,25,3304,0,0,23,12,496
174,32,0,54,24,0,17,0,370,45,3061,0,32,9,0,1018
175,0,0,31,0,13,0,0,111,0,2321,48,0,6,0,531
176,0,22,11,10,50,9,42,400,0,1811,35,56,17,0,977
177,0,0,8,0,0,0,0,0,0,51,0,10,0,0,231
178,0,0,0,41,0,0,0,0,0,917,25,52,0,0,318
179,0,0,0,15,0,0,0,0,0,416,0,71,0,0,484
17,0,72,0,547,73,0,160,481,48,5844,0,274,42,0,2464
180,0,0,0,57,6,0,19,76,0,746,0,85,0,0,858
181,0,5,56,0,0,0,0,0,0,184,0,46,0,0,100
182,0,34,104,0,69,77,0,0,0,321,156,0,0,0,214
183,34,0,78,0,128,43,46,259,0,2734,168,24,29,109,826
184,0,17,219,0,63,75,0,279,0,2396,217,0,27,146,745
185,69,26,164,191,277,208,105,1104,59,4656,233,236,0,88,1547
186,114,54,252,0,338,130,39,1844,60,5727,276,22,124,182,2145
187,0,23,56,0,193,17,0,871,0,5407,72,23,25,0,1102
188,0,21,60,13,39,9,67,103,14,266,0,127,0,31,760
189,0,0,0,0,5,0,0,72,0,1332,0,64,3,0,525
18,0,0,48,98,4,0,31,212,0,3220,74,77,0,0,2079
190,0,0,117,0,54,12,60,103,28,1145,167,19,13,0,517
191,0,0,119,21,36,12,0,158,14,549,107,47,0,15,905
193,34,0,58,0,12,12,57,490,0,2480,169,11,10,0,1326
194,0,0,144,0,28,46,0,96,0,977,174,0,25,21,776
195,0,0,0,0,0,0,0,0,0,40,0,42,4,0,99
196,0,0,15,0,36,0,66,195,0,4915,39,45,16,0,2043
197,0,0,46,22,70,19,0,212,18,1056,41,59,16,26,820
198,0,0,53,0,77,26,56,132,0,1318,56,13,11,28,595
199,0,0,0,16,0,0,0,18,0,172,0,19,0,0,240
19,74,253,33,0,174,19,173,524,0,2036,155,80,26,0,1382
1,0,36,41,0,14,0,0,84,0,445,36,133,0,10,336
200,0,62,47,45,11,28,50,38,0,2440,85,20,6,19,513
201,0,0,0,0,0,0,0,78,0,128,0,33,6,0,149
202,0,30,101,0,40,36,51,223,0,1108,122,30,17,0,445
203,0,0,144,0,55,50,0,22,0,861,104,79,0,101,646
204,0,0,52,0,0,0,0,76,0,758,35,26,8,0,327
205,0,80,52,127,248,46,71,407,0,3077,122,116,66,53,2122
206,13,15,0,0,15,0,0,0,0,308,17,180,0,0,679
207,0,45,15,0,6,0,0,99,16,423,58,55,0,0,252
